CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 1,Branch A,1.46,1.46,0.0,Retire,1118
Client 2,Branch A,1.88,1.88,0.0,Deposit,472
Client 3,Branch B,2.32,2.32,0.0,Retire,2063
Client 3,Branch B,2.32,2.32,0.0,Invest,2200
Client 2,Branch A,1.88,1.88,0.0,Retire,131
Client 4,Branch C,4.25,4.25,0.0,Invest,2382
Client 5,Branch A,4.63,4.63,0.0,Deposit,2723
Client 6,Branch C,5.89,5.89,0.0,Deposit,540
Client 5,Branch A,4.63,4.63,0.0,Retire,846
Client 5,Branch A,4.63,4.63,0.0,Invest,1223
Client 6,Branch C,5.89,5.89,0.0,Deposit,748
Client 7,Branch A,7.66,7.66,0.0,Retire,2478
Client 8,Branch C,8.12,8.12,0.0,Retire,2593
Client 6,Branch C,5.89,5.89,0.0,Deposit,2675
Client 9,Branch A,9.37,9.37,0.0,Loan,533
Client 11,Branch B,10.42,10.42,0.0,Deposit,2500
Client 10,Branch B,10.12,10.12,0.0,Retire,410
Client 9,Branch A,9.37,9.37,0.0,Deposit,2466
Client 12,Branch C,11.39,11.39,0.0,Deposit,2461
Client 10,Branch B,10.12,10.12,0.0,Retire,1447
Client 13,Branch B,12.07,12.07,0.0,Loan,2622
Client 9,Branch A,9.37,9.37,0.0,Deposit,2250
Client 12,Branch C,11.39,11.39,0.0,Retire,1480
Client 14,Branch A,12.93,12.93,0.0,Loan,1866
Client 13,Branch B,12.07,12.07,0.0,Retire,373
Client 15,Branch A,13.71,13.71,0.0,Retire,2569
Client 16,Branch B,13.94,13.94,0.0,Retire,2270
Client 12,Branch C,11.39,11.39,0.0,Deposit,2208
Client 15,Branch A,13.71,13.71,0.0,Deposit,356
Client 13,Branch B,12.07,12.07,0.0,Loan,475
Client 14,Branch A,12.93,12.93,0.0,Loan,2231
Client 16,Branch B,13.94,13.94,0.0,Deposit,2455
Client 14,Branch A,12.93,12.93,0.0,Deposit,292
Client 15,Branch A,13.71,13.71,0.0,Invest,461
Client 13,Branch B,12.07,12.07,0.0,Retire,604
Client 16,Branch B,13.94,13.94,0.0,Deposit,1976
Client 18,Branch B,14.66,18.04,3.38,Invest,2375
Client 17,Branch A,14.07,17.95,3.88,Retire,596
Client 19,Branch A,15.55,18.0,2.46,Retire,1419
Client 16,Branch B,13.94,13.94,0.0,Loan,1837
Client 20,Branch A,17.3,19.58,2.28,Loan,1780
Client 19,Branch A,15.55,18.0,2.46,Invest,2426
Client 20,Branch A,17.3,19.58,2.28,Invest,2948
Client 20,Branch A,17.3,19.58,2.28,Loan,2677
Client 20,Branch A,17.3,19.58,2.28,Deposit,2759
