CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 1,Branch B,0.59,0.59,0.0,Invest,488
Client 2,Branch C,2.33,2.33,0.0,Invest,1729
Client 3,Branch A,4.07,4.07,0.0,Loan,1275
Client 2,Branch C,2.33,2.33,0.0,Retire,1059
Client 3,Branch A,4.07,4.07,0.0,Retire,670
Client 2,Branch C,2.33,2.33,0.0,Invest,1810
Client 4,Branch A,5.82,5.82,0.0,Loan,602
Client 3,Branch A,4.07,4.07,0.0,Retire,2907
Client 5,Branch C,7.0,7.0,0.0,Loan,1139
Client 2,Branch C,2.33,2.33,0.0,Loan,1785
Client 4,Branch A,5.82,5.82,0.0,Invest,2751
Client 6,Branch B,8.77,8.77,0.0,Retire,284
Client 5,Branch C,7.0,7.0,0.0,Loan,2964
Client 4,Branch A,5.82,5.82,0.0,Loan,1948
Client 3,Branch A,4.07,4.07,0.0,Deposit,2950
Client 7,Branch B,10.21,10.21,0.0,Invest,1574
Client 5,Branch C,7.0,7.0,0.0,Loan,2688
Client 6,Branch B,8.77,8.77,0.0,Retire,1420
Client 4,Branch A,5.82,5.82,0.0,Invest,2319
Client 8,Branch A,10.88,10.88,0.0,Deposit,879
Client 7,Branch B,10.21,10.21,0.0,Deposit,2467
Client 6,Branch B,8.77,8.77,0.0,Deposit,1183
Client 10,Branch C,12.58,12.58,0.0,Invest,2713
Client 9,Branch B,12.37,12.4,0.02,Invest,490
Client 6,Branch B,8.77,8.77,0.0,Deposit,2567
Client 9,Branch B,12.37,12.4,0.02,Invest,1590
Client 9,Branch B,12.37,12.4,0.02,Deposit,331
Client 11,Branch B,14.33,15.21,0.88,Deposit,1218
Client 9,Branch B,12.37,12.4,0.02,Deposit,447
Client 12,Branch A,15.52,15.52,0.0,Invest,1149
Client 11,Branch B,14.33,15.21,0.88,Invest,513
Client 13,Branch A,17.08,17.08,0.0,Retire,1433
Client 12,Branch A,15.52,15.52,0.0,Retire,2029
Client 14,Branch C,17.8,17.8,0.0,Invest,842
Client 11,Branch B,14.33,15.21,0.88,Invest,632
Client 15,Branch A,17.91,19.04,1.13,Loan,2839
Client 12,Branch A,15.52,15.52,0.0,Loan,2834
Client 16,Branch C,19.24,19.24,0.0,Loan,2305
Client 17,Branch B,19.76,19.76,0.0,Invest,740
Client 11,Branch B,14.33,15.21,0.88,Retire,953
Client 15,Branch A,17.91,19.04,1.13,Loan,2278
Client 17,Branch B,19.76,19.76,0.0,Loan,441
Client 18,Branch C,20.99,20.99,0.0,Retire,2487
Client 16,Branch C,19.24,19.24,0.0,Retire,1338
Client 19,Branch A,21.98,21.98,0.0,Invest,2470
Client 15,Branch A,17.91,19.04,1.13,Retire,517
Client 16,Branch C,19.24,19.24,0.0,Deposit,2682
Client 18,Branch C,20.99,20.99,0.0,Loan,1748
Client 20,Branch A,23.43,23.43,0.0,Loan,1519
Client 18,Branch C,20.99,20.99,0.0,Invest,758
Client 20,Branch A,23.43,23.43,0.0,Loan,1663
Client 21,Branch C,25.22,25.22,0.0,Retire,1726
Client 22,Branch A,26.65,26.65,0.0,Retire,1734
Client 21,Branch C,25.22,25.22,0.0,Invest,1388
Client 20,Branch A,23.43,23.43,0.0,Invest,2373
Client 23,Branch C,28.03,28.03,0.0,Invest,696
Client 22,Branch A,26.65,26.65,0.0,Loan,2393
Client 20,Branch A,23.43,23.43,0.0,Deposit,2769
Client 21,Branch C,25.22,25.22,0.0,Retire,887
Client 23,Branch C,28.03,28.03,0.0,Loan,2789
Client 22,Branch A,26.65,26.65,0.0,Loan,2442
Client 25,Branch A,29.84,29.84,0.0,Loan,328
Client 26,Branch B,30.26,30.26,0.0,Deposit,2351
Client 24,Branch C,28.33,30.2,1.87,Loan,2571
Client 23,Branch C,28.03,28.03,0.0,Deposit,436
Client 22,Branch A,26.65,26.65,0.0,Retire,2212
Client 26,Branch B,30.26,30.26,0.0,Invest,2603
Client 25,Branch A,29.84,29.84,0.0,Loan,829
Client 24,Branch C,28.33,30.2,1.87,Loan,2404
Client 29,Branch A,31.24,32.33,1.1,Invest,277
Client 27,Branch C,30.53,32.21,1.68,Invest,1517
Client 25,Branch A,29.84,29.84,0.0,Invest,240
Client 26,Branch B,30.26,30.26,0.0,Loan,2748
Client 28,Branch C,31.07,33.23,2.16,Loan,2022
Client 29,Branch A,31.24,32.33,1.1,Retire,212
Client 30,Branch C,32.01,33.69,1.69,Loan,2888
Client 28,Branch C,31.07,33.23,2.16,Retire,1590
Client 29,Branch A,31.24,32.33,1.1,Invest,2770
Client 29,Branch A,31.24,32.33,1.1,Loan,1449
