CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 1,Branch B,0.47,0.47,0.0,Retire,2885
Client 2,Branch A,1.27,1.27,0.0,Retire,1297
Client 1,Branch B,0.47,0.47,0.0,Retire,2152
Client 3,Branch C,2.43,2.43,0.0,Deposit,266
Client 4,Branch B,3.27,3.27,0.0,Invest,2487
Client 1,Branch B,0.47,0.47,0.0,Invest,4164
Client 3,Branch C,2.43,2.43,0.0,Loan,1516
Client 6,Branch A,5.18,5.18,0.0,Invest,578
Client 5,Branch A,4.86,4.86,0.0,Deposit,1550
Client 3,Branch C,2.43,2.43,0.0,Retire,2509
Client 5,Branch A,4.86,4.86,0.0,Loan,1376
Client 6,Branch A,5.18,5.18,0.0,Invest,4401
Client 5,Branch A,4.86,4.86,0.0,Invest,3621
Client 7,Branch A,6.28,8.65,2.37,Deposit,2565
Client 8,Branch A,7.7,9.88,2.18,Deposit,3037
Client 7,Branch A,6.28,8.65,2.37,Deposit,1615
Client 10,Branch B,10.93,10.93,0.0,Invest,4855
Client 7,Branch A,6.28,8.65,2.37,Invest,1081
Client 9,Branch A,9.39,11.47,2.08,Deposit,3208
Client 11,Branch B,12.21,12.21,0.0,Deposit,4124
Client 9,Branch A,9.39,11.47,2.08,Loan,4072
Client 7,Branch A,6.28,8.65,2.37,Retire,765
Client 11,Branch B,12.21,12.21,0.0,Retire,3883
Client 9,Branch A,9.39,11.47,2.08,Retire,1115
Client 12,Branch B,13.95,13.95,0.0,Retire,572
Client 13,Branch C,14.89,14.89,0.0,Invest,836
Client 11,Branch B,12.21,12.21,0.0,Deposit,1427
Client 14,Branch B,16.67,16.67,0.0,Invest,1145
Client 11,Branch B,12.21,12.21,0.0,Loan,4567
Client 13,Branch C,14.89,14.89,0.0,Invest,1204
Client 16,Branch A,17.83,17.83,0.0,Deposit,1598
Client 15,Branch C,17.76,17.76,0.0,Loan,4516
Client 14,Branch B,16.67,16.67,0.0,Loan,2492
Client 18,Branch B,19.0,19.0,0.0,Retire,4089
Client 15,Branch C,17.76,17.76,0.0,Deposit,611
Client 16,Branch A,17.83,17.83,0.0,Loan,344
Client 17,Branch C,18.97,18.97,0.0,Deposit,1926
Client 18,Branch B,19.0,19.0,0.0,Deposit,1878
Client 15,Branch C,17.76,17.76,0.0,Retire,1554
Client 17,Branch C,18.97,18.97,0.0,Retire,3099
Client 19,Branch A,20.95,20.95,0.0,Loan,2043
Client 16,Branch A,17.83,17.83,0.0,Deposit,3319
Client 15,Branch C,17.76,17.76,0.0,Loan,4386
Client 16,Branch A,17.83,17.83,0.0,Deposit,4130
Client 17,Branch C,18.97,18.97,0.0,Deposit,2511
Client 20,Branch C,22.94,23.78,0.84,Retire,2114
Client 20,Branch C,22.94,23.78,0.84,Loan,4598
