CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 1,Branch C,0.73,0.73,0.0,Retire,2741
Client 2,Branch A,1.81,1.81,0.0,Invest,314
Client 1,Branch C,0.73,0.73,0.0,Loan,1419
Client 3,Branch A,1.88,1.88,0.0,Retire,1629
Client 5,Branch B,3.22,3.22,0.0,Invest,1163
Client 2,Branch A,1.81,1.81,0.0,Deposit,431
Client 4,Branch A,2.81,3.87,1.06,Invest,1210
Client 1,Branch C,0.73,0.73,0.0,Loan,216
Client 7,Branch B,5.0,5.0,0.0,Loan,2740
Client 2,Branch A,1.81,1.81,0.0,Invest,136
Client 4,Branch A,2.81,3.87,1.06,Invest,1866
Client 8,Branch B,5.95,5.95,0.0,Loan,1084
Client 2,Branch A,1.81,1.81,0.0,Deposit,1326
Client 10,Branch B,6.64,6.64,0.0,Invest,1233
Client 6,Branch A,4.93,6.91,1.98,Invest,825
Client 9,Branch C,6.28,6.28,0.0,Invest,1317
Client 6,Branch A,4.93,6.91,1.98,Invest,1850
Client 10,Branch B,6.64,6.64,0.0,Loan,235
Client 9,Branch C,6.28,6.28,0.0,Retire,2877
Client 11,Branch C,8.35,8.35,0.0,Retire,2511
Client 9,Branch C,6.28,6.28,0.0,Loan,1225
Client 12,Branch C,9.49,9.99,0.5,Loan,2263
Client 13,Branch A,10.82,10.82,0.0,Loan,1151
Client 14,Branch C,12.0,12.0,0.0,Loan,2463
Client 13,Branch A,10.82,10.82,0.0,Loan,544
Client 14,Branch C,12.0,12.0,0.0,Retire,703
Client 13,Branch A,10.82,10.82,0.0,Invest,2808
Client 15,Branch A,13.89,13.89,0.0,Deposit,1585
Client 16,Branch C,13.91,13.91,0.0,Deposit,578
Client 14,Branch C,12.0,12.0,0.0,Deposit,1627
Client 13,Branch A,10.82,10.82,0.0,Invest,2537
Client 16,Branch C,13.91,13.91,0.0,Invest,1745
Client 17,Branch A,15.67,16.23,0.55,Deposit,2150
Client 15,Branch A,13.89,13.89,0.0,Invest,789
Client 17,Branch A,15.67,16.23,0.55,Retire,1385
Client 16,Branch C,13.91,13.91,0.0,Invest,943
Client 15,Branch A,13.89,13.89,0.0,Deposit,2812
Client 17,Branch A,15.67,16.23,0.55,Invest,2274
Client 19,Branch B,17.98,17.98,0.0,Deposit,2987
Client 20,Branch C,18.01,18.01,0.0,Retire,2823
Client 17,Branch A,15.67,16.23,0.55,Retire,961
Client 21,Branch B,19.05,19.05,0.0,Retire,1113
Client 18,Branch A,17.23,19.17,1.93,Invest,696
Client 19,Branch B,17.98,17.98,0.0,Retire,699
Client 20,Branch C,18.01,18.01,0.0,Deposit,1670
Client 21,Branch B,19.05,19.05,0.0,Deposit,870
Client 19,Branch B,17.98,17.98,0.0,Retire,662
Client 22,Branch A,20.84,20.91,0.07,Retire,634
Client 18,Branch A,17.23,19.17,1.93,Invest,1215
Client 18,Branch A,17.23,19.17,1.93,Retire,1407
Client 22,Branch A,20.84,20.91,0.07,Loan,2607
Client 22,Branch A,20.84,20.91,0.07,Loan,954
Client 23,Branch A,22.33,24.09,1.76,Deposit,351
Client 25,Branch B,25.31,25.31,0.0,Loan,2184
Client 23,Branch A,22.33,24.09,1.76,Retire,1835
Client 22,Branch A,20.84,20.91,0.07,Invest,1749
Client 27,Branch B,27.19,27.19,0.0,Invest,840
Client 26,Branch C,26.75,26.75,0.0,Retire,2522
Client 24,Branch A,23.6,27.22,3.62,Loan,2596
Client 25,Branch B,25.31,25.31,0.0,Invest,711
Client 26,Branch C,26.75,26.75,0.0,Retire,2336
Client 24,Branch A,23.6,27.22,3.62,Retire,2499
Client 25,Branch B,25.31,25.31,0.0,Loan,2326
Client 28,Branch A,28.46,28.46,0.0,Retire,2181
Client 26,Branch C,26.75,26.75,0.0,Invest,1404
Client 29,Branch C,29.38,29.38,0.0,Deposit,578
Client 24,Branch A,23.6,27.22,3.62,Invest,1706
Client 30,Branch C,30.16,30.44,0.28,Loan,2081
Client 30,Branch C,30.16,30.44,0.28,Invest,466
Client 30,Branch C,30.16,30.44,0.28,Invest,946
