CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 2,Branch A,0.32,0.32,0.0,Deposit,2648
Client 1,Branch B,0.25,0.25,0.0,Invest,1849
Client 3,Branch C,1.03,1.03,0.0,Retire,4541
Client 2,Branch A,0.32,0.32,0.0,Loan,1283
Client 1,Branch B,0.25,0.25,0.0,Retire,3194
Client 4,Branch C,2.69,2.69,0.0,Invest,2471
Client 3,Branch C,1.03,1.03,0.0,Invest,3887
Client 5,Branch B,2.76,2.76,0.0,Deposit,2317
Client 2,Branch A,0.32,0.32,0.0,Deposit,355
Client 6,Branch A,3.35,3.35,0.0,Retire,108
Client 5,Branch B,2.76,2.76,0.0,Loan,1357
Client 7,Branch A,3.99,4.51,0.51,Retire,4287
Client 6,Branch A,3.35,3.35,0.0,Invest,1932
Client 8,Branch C,5.01,5.01,0.0,Invest,2245
Client 6,Branch A,3.35,3.35,0.0,Deposit,2837
Client 7,Branch A,3.99,4.51,0.51,Invest,3839
Client 5,Branch B,2.76,2.76,0.0,Deposit,947
Client 8,Branch C,5.01,5.01,0.0,Invest,3602
Client 9,Branch A,6.45,7.16,0.71,Invest,110
Client 7,Branch A,3.99,4.51,0.51,Invest,1953
Client 5,Branch B,2.76,2.76,0.0,Deposit,826
Client 9,Branch A,6.45,7.16,0.71,Invest,859
Client 10,Branch C,7.68,7.68,0.0,Retire,4772
Client 13,Branch C,9.05,9.05,0.0,Retire,4461
Client 9,Branch A,6.45,7.16,0.71,Loan,2311
Client 10,Branch C,7.68,7.68,0.0,Invest,964
Client 11,Branch A,7.91,9.03,1.11,Deposit,870
Client 13,Branch C,9.05,9.05,0.0,Deposit,4989
Client 10,Branch C,7.68,7.68,0.0,Deposit,4722
Client 12,Branch A,8.67,10.61,1.93,Invest,429
Client 11,Branch A,7.91,9.03,1.11,Deposit,863
Client 14,Branch C,10.98,11.57,0.59,Invest,3613
Client 15,Branch B,11.74,11.74,0.0,Deposit,4043
Client 10,Branch C,7.68,7.68,0.0,Invest,3244
Client 12,Branch A,8.67,10.61,1.93,Retire,1638
Client 16,Branch A,12.76,12.76,0.0,Invest,2676
Client 14,Branch C,10.98,11.57,0.59,Deposit,2661
Client 15,Branch B,11.74,11.74,0.0,Invest,2268
Client 12,Branch A,8.67,10.61,1.93,Retire,3853
Client 17,Branch C,14.5,14.5,0.0,Deposit,1805
Client 18,Branch B,15.15,15.15,0.0,Retire,2420
Client 19,Branch C,15.69,15.69,0.0,Deposit,4182
Client 17,Branch C,14.5,14.5,0.0,Loan,4586
Client 20,Branch A,16.47,16.47,0.0,Retire,689
Client 18,Branch B,15.15,15.15,0.0,Deposit,1166
Client 19,Branch C,15.69,15.69,0.0,Retire,1243
Client 21,Branch C,18.06,18.06,0.0,Loan,2896
Client 18,Branch B,15.15,15.15,0.0,Deposit,690
Client 22,Branch B,18.79,18.79,0.0,Loan,2038
Client 19,Branch C,15.69,15.69,0.0,Deposit,4533
Client 21,Branch C,18.06,18.06,0.0,Deposit,4917
Client 22,Branch B,18.79,18.79,0.0,Deposit,1334
Client 18,Branch B,15.15,15.15,0.0,Retire,3280
Client 24,Branch B,20.78,20.93,0.15,Deposit,1322
Client 19,Branch C,15.69,15.69,0.0,Invest,4102
Client 21,Branch C,18.06,18.06,0.0,Loan,1989
Client 25,Branch B,21.5,21.53,0.03,Invest,4679
Client 24,Branch B,20.78,20.93,0.15,Retire,3845
Client 23,Branch C,20.37,22.2,1.83,Loan,4962
Client 25,Branch B,21.5,21.53,0.03,Invest,2064
Client 26,Branch C,22.99,22.99,0.0,Deposit,4864
Client 26,Branch C,22.99,22.99,0.0,Retire,2838
Client 23,Branch C,20.37,22.2,1.83,Invest,1119
Client 27,Branch A,24.45,24.45,0.0,Loan,4632
Client 25,Branch B,21.5,21.53,0.03,Deposit,1474
Client 26,Branch C,22.99,22.99,0.0,Deposit,182
Client 28,Branch C,26.25,26.25,0.0,Retire,1666
Client 27,Branch A,24.45,24.45,0.0,Deposit,4319
Client 26,Branch C,22.99,22.99,0.0,Invest,623
Client 29,Branch B,27.25,27.25,0.0,Loan,1841
Client 28,Branch C,26.25,26.25,0.0,Loan,3198
Client 27,Branch A,24.45,24.45,0.0,Retire,1302
Client 30,Branch C,28.6,28.6,0.0,Invest,3982
Client 29,Branch B,27.25,27.25,0.0,Deposit,4425
Client 29,Branch B,27.25,27.25,0.0,Retire,2059
Client 30,Branch C,28.6,28.6,0.0,Invest,1575
Client 29,Branch B,27.25,27.25,0.0,Retire,4392
Client 30,Branch C,28.6,28.6,0.0,Deposit,1894
Client 30,Branch C,28.6,28.6,0.0,Invest,4940
