CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 1,Branch B,0.29,0.29,0.0,Invest,1395
Client 2,Branch C,2.01,2.01,0.0,Retire,1878
Client 1,Branch B,0.29,0.29,0.0,Invest,3418
Client 2,Branch C,2.01,2.01,0.0,Invest,2717
Client 1,Branch B,0.29,0.29,0.0,Invest,1284
Client 3,Branch A,3.45,3.45,0.0,Invest,2396
Client 3,Branch A,3.45,3.45,0.0,Invest,281
Client 4,Branch B,4.82,4.82,0.0,Invest,1889
Client 6,Branch A,7.02,7.02,0.0,Deposit,905
Client 5,Branch B,6.53,6.53,0.0,Loan,3676
Client 7,Branch C,8.22,8.22,0.0,Invest,3571
Client 6,Branch A,7.02,7.02,0.0,Retire,685
Client 9,Branch B,8.85,8.85,0.0,Invest,2723
Client 7,Branch C,8.22,8.22,0.0,Deposit,4865
Client 8,Branch A,8.69,8.69,0.0,Deposit,3835
Client 10,Branch C,9.71,9.71,0.0,Loan,2130
Client 8,Branch A,8.69,8.69,0.0,Retire,3573
Client 9,Branch B,8.85,8.85,0.0,Deposit,1571
Client 7,Branch C,8.22,8.22,0.0,Loan,1271
Client 10,Branch C,9.71,9.71,0.0,Retire,4285
Client 11,Branch A,11.21,11.21,0.0,Retire,2940
Client 9,Branch B,8.85,8.85,0.0,Loan,1876
Client 8,Branch A,8.69,8.69,0.0,Invest,3418
Client 13,Branch B,12.48,12.48,0.0,Invest,2681
Client 7,Branch C,8.22,8.22,0.0,Deposit,1967
Client 12,Branch C,12.47,12.84,0.36,Invest,4042
Client 14,Branch A,13.96,13.96,0.0,Loan,2876
Client 15,Branch C,14.1,14.1,0.0,Loan,1764
Client 8,Branch A,8.69,8.69,0.0,Deposit,580
Client 13,Branch B,12.48,12.48,0.0,Invest,870
Client 12,Branch C,12.47,12.84,0.36,Deposit,2902
Client 15,Branch C,14.1,14.1,0.0,Deposit,1590
Client 12,Branch C,12.47,12.84,0.36,Deposit,4199
Client 13,Branch B,12.48,12.48,0.0,Invest,1899
Client 15,Branch C,14.1,14.1,0.0,Invest,3685
Client 12,Branch C,12.47,12.84,0.36,Retire,3388
Client 17,Branch B,17.46,17.46,0.0,Deposit,681
Client 18,Branch B,18.29,18.29,0.0,Invest,3041
Client 16,Branch C,16.0,17.98,1.98,Deposit,2149
Client 19,Branch B,19.16,19.16,0.0,Retire,2004
Client 16,Branch C,16.0,17.98,1.98,Deposit,4354
Client 18,Branch B,18.29,18.29,0.0,Invest,4425
Client 16,Branch C,16.0,17.98,1.98,Deposit,4426
Client 20,Branch A,20.65,20.65,0.0,Retire,3604
Client 19,Branch B,19.16,19.16,0.0,Loan,972
Client 18,Branch B,18.29,18.29,0.0,Deposit,4657
Client 20,Branch A,20.65,20.65,0.0,Invest,274
Client 18,Branch B,18.29,18.29,0.0,Invest,1067
Client 20,Branch A,20.65,20.65,0.0,Loan,4283
Client 20,Branch A,20.65,20.65,0.0,Invest,1424
