CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 1,Branch A,1.87,1.87,0.0,Retire,2454
Client 2,Branch C,2.9,2.9,0.0,Retire,2976
Client 3,Branch B,3.61,3.61,0.0,Loan,2816
Client 4,Branch A,4.35,4.35,0.0,Deposit,2825
Client 2,Branch C,2.9,2.9,0.0,Deposit,1928
Client 3,Branch B,3.61,3.61,0.0,Deposit,594
Client 5,Branch C,5.42,5.42,0.0,Loan,643
Client 2,Branch C,2.9,2.9,0.0,Deposit,2380
Client 6,Branch A,5.49,5.49,0.0,Invest,920
Client 3,Branch B,3.61,3.61,0.0,Retire,2108
Client 7,Branch A,7.4,7.4,0.0,Invest,2684
Client 6,Branch A,5.49,5.49,0.0,Loan,2251
Client 7,Branch A,7.4,7.4,0.0,Invest,1166
Client 9,Branch B,9.09,9.09,0.0,Deposit,1908
Client 6,Branch A,5.49,5.49,0.0,Invest,2279
Client 9,Branch B,9.09,9.09,0.0,Invest,2355
Client 7,Branch A,7.4,7.4,0.0,Invest,665
Client 10,Branch C,10.93,10.93,0.0,Deposit,2228
Client 6,Branch A,5.49,5.49,0.0,Invest,1871
Client 12,Branch B,11.16,11.16,0.0,Loan,1576
Client 9,Branch B,9.09,9.09,0.0,Retire,2817
Client 8,Branch A,8.69,11.79,3.1,Retire,754
Client 10,Branch C,10.93,10.93,0.0,Deposit,1229
Client 11,Branch A,11.0,12.06,1.06,Loan,927
Client 14,Branch B,12.77,12.77,0.0,Invest,2435
Client 8,Branch A,8.69,11.79,3.1,Deposit,815
Client 14,Branch B,12.77,12.77,0.0,Loan,1180
Client 10,Branch C,10.93,10.93,0.0,Invest,1229
Client 11,Branch A,11.0,12.06,1.06,Retire,1927
Client 15,Branch B,13.65,13.65,0.0,Retire,1627
Client 13,Branch A,12.3,14.65,2.36,Retire,2008
Client 16,Branch A,13.74,15.36,1.62,Deposit,2119
Client 15,Branch B,13.65,13.65,0.0,Deposit,568
Client 13,Branch A,12.3,14.65,2.36,Retire,2990
Client 17,Branch A,15.24,16.43,1.19,Invest,691
Client 15,Branch B,13.65,13.65,0.0,Invest,2024
Client 13,Branch A,12.3,14.65,2.36,Invest,2678
Client 17,Branch A,15.24,16.43,1.19,Retire,712
Client 13,Branch A,12.3,14.65,2.36,Loan,2996
Client 17,Branch A,15.24,16.43,1.19,Invest,935
Client 18,Branch A,16.0,21.13,5.13,Loan,2812
Client 17,Branch A,15.24,16.43,1.19,Loan,1532
Client 18,Branch A,16.0,21.13,5.13,Loan,214
Client 19,Branch A,16.91,23.14,6.23,Deposit,2460
Client 18,Branch A,16.0,21.13,5.13,Retire,1374
Client 20,Branch A,18.9,24.67,5.77,Retire,1415
Client 18,Branch A,16.0,21.13,5.13,Retire,210
Client 20,Branch A,18.9,24.67,5.77,Invest,2444
